Team,Time,Location (m),Total Field #1 (nT),Total Field #2 (nT),Total Field #3 (nT),Total Field #4 (nT),Total Field #5 (nT),Total Field #6 (nT),,,,,,,,,,,,,,,,,Total Field Average (nT),Standard Deviation,Location,Anomaly
,,,,,,,,,,,,,,,,,,,,,,,,,530.5,0.5,25,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,563.6666667,2.054804668,,33.66666667
,,,,,,,,,,,,,,,,,,,,,,,,,575.3,3.318132005,16,45.3
,,,,,,,,,,,,,,,,,,,,,,,,,581.25,2.537222891,16.25,51.25
,,,,,,,,,,,,,,,,,,,,,,,,,588.4285714,2.770102776,16.5,58.42857143
,,,,,,,,,,,,,,,,,,,,,,,,,614.2941176,6.036796052,16.75,84.29411765
,,,,,,,,,,,,,,,,,,,,,,,,,625.8333333,2.793842436,17,95.83333333
,,,,,,,,,,,,,,,,,,,,,,,,,615.8333333,4.861984049,17.25,85.83333333
,,,,,,,,,,,,,,,,,,,,,,,,,619.4761905,11.37925869,17.5,89.47619048
,,,,,,,,,,,,,,,,,,,,,,,,,622.4545455,21.81893938,17.75,92.45454545
,,,,,,,,,,,,,,,,,,,,,,,,,605.5833333,10.45991024,18,75.58333333
,,,,,,,,,,,,,,,,,,,,,,,,,596.8571429,5.138887357,18.25,66.85714286
,,,,,,,,,,,,,,,,,,,,,,,,,578.5714286,5.39463074,18.5,48.57142857
,,,,,,,,,,,,,,,,,,,,,,,,,568.6666667,0.942809042,18.75,38.66666667
,,,,,,,,,,,,,,,,,,,,,,,,,555.75,1.299038106,19,25.75
,,,,,,,,,,,,,,,,,,,,,,,,,554.8,2.13541565,19.25,24.8
,,,,,,,,,,,,,,,,,,,,,,,,,547.5,1.5,19.5,17.5
,,,,,,,,,,,,,,,,,,,,,,,,,540.3333333,1.699673171,19.75,10.33333333
,,,,,,,,,,,,,,,,,,,,,,,,,535.25,2.586020108,20,5.25
,,,,,,,,,,,,,,,,,,,,,,,,,530,0.816496581,20.5,0
,,,,,,,,,,,,,,,,,,,,,,,,,532.3333333,0.942809042,21,2.333333333
,,,,,,,,,,,,,,,,,,,,,,,,,565.6666667,1.247219129,,35.66666667
